paper_experiment,model_scale,model_name,head_count,bucket,metric,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,beta,source
architecture_vs_optimizer,160m,GPT2-160M,6,mid,soft_rank,AdamW,adamw,adamw,AdamW,0.596,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,mid,soft_rank,Muon,muon,muon,Muon,1.115,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,mid,soft_rank,NorMuon,normuon,normuon,NorMuon,1.034,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,mid,soft_rank,Dion,dion_r1_2,dion_r1_2,Dion (1/2),0.83,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,mid,soft_rank,Dion,dion_r1_16,dion_r1_16,Dion (1/16),0.668,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,mid,hard_rank,AdamW,adamw,adamw,AdamW,0.671,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,mid,hard_rank,Muon,muon,muon,Muon,1.221,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,mid,hard_rank,NorMuon,normuon,normuon,NorMuon,1.076,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,mid,hard_rank,Dion,dion_r1_2,dion_r1_2,Dion (1/2),0.58,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,mid,hard_rank,Dion,dion_r1_16,dion_r1_16,Dion (1/16),0.367,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,tail,soft_rank,AdamW,adamw,adamw,AdamW,0.669,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,tail,soft_rank,Muon,muon,muon,Muon,1.224,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,tail,soft_rank,NorMuon,normuon,normuon,NorMuon,1.061,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,tail,soft_rank,Dion,dion_r1_2,dion_r1_2,Dion (1/2),0.918,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,tail,soft_rank,Dion,dion_r1_16,dion_r1_16,Dion (1/16),0.716,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,tail,hard_rank,AdamW,adamw,adamw,AdamW,0.751,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,tail,hard_rank,Muon,muon,muon,Muon,1.388,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,tail,hard_rank,NorMuon,normuon,normuon,NorMuon,1.015,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,tail,hard_rank,Dion,dion_r1_2,dion_r1_2,Dion (1/2),0.865,processed_beta_values_from_main_paper_figure
architecture_vs_optimizer,160m,GPT2-160M,6,tail,hard_rank,Dion,dion_r1_16,dion_r1_16,Dion (1/16),0.393,processed_beta_values_from_main_paper_figure
