run_id,paper_experiment,model_scale,model_name,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,dion_rank_fraction,width_multiplier,ffn_hidden_dim,metric,bucket,site,value,err_low,err_high,n_layers_used,final_samples,final_steps,aggregation,frequency_bucket_reduction
160m_dion_r1_2_2x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,2,1536,hard_rank,global,post,406.625,151.14324141497505,662.106758585025,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_3x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,3,2304,soft_rank,global,post,1290.3588851405125,759.6181627861724,1821.0996074948525,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_3x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,3,2304,hard_rank,global,post,490.345,184.3876319804432,796.3023680195569,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_4x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,4,3072,soft_rank,global,post,1597.3655406813568,851.8123958056547,2342.918685557059,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_4x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,4,3072,hard_rank,global,post,648.8299999999999,220.91639749555355,1076.7436025044462,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_5x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,5,3840,soft_rank,global,post,2099.7650481397923,1249.6605069569298,2949.869589322655,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_5x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,5,3840,hard_rank,global,post,717.73,258.23407521179286,1177.225924788207,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_6x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,6,4608,soft_rank,global,post,2357.9034268784544,1383.9508770318548,3331.855976725054,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_6x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,6,4608,hard_rank,global,post,816.61,344.200902568964,1289.019097431036,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
160m_dion_r1_2_7x,main_160m_width_sweep,160m,GPT2-160M,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,7,5376,soft_rank,global,post,2501.574629040003,1447.5900015487075,3555.559256531298,12,5,5200;5400;5600;5800;6000,median_final_steps_per_layer_then_median_over_layers,rank0_local
