run_id,paper_experiment,model_scale,model_name,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,width_multiplier,ffn_hidden_dim,metric,bucket,site,value,err_low,err_high,n_layers_used,final_steps,aggregation,frequency_bucket_reduction
350m_normuon_3x,tail_350m_rank_scaling,350m,GPT2-350M,NorMuon,normuon,normuon,NorMuon,3,3072,hard_rank,tail,post,573.1949999999999,251.75501128780326,894.6349887121967,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_normuon_3x,tail_350m_rank_scaling,350m,GPT2-350M,NorMuon,normuon,normuon,NorMuon,3,3072,soft_rank,tail,post,1541.4054861179502,1096.6646232485832,1986.1463489873172,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_normuon_4x,tail_350m_rank_scaling,350m,GPT2-350M,NorMuon,normuon,normuon,NorMuon,4,4096,hard_rank,tail,post,666.95,317.70892017890935,1016.1910798210907,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_normuon_4x,tail_350m_rank_scaling,350m,GPT2-350M,NorMuon,normuon,normuon,NorMuon,4,4096,soft_rank,tail,post,1781.4127196956438,1248.0651938505107,2314.760245540777,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_dion_r1_16_1x,tail_350m_rank_scaling,350m,GPT2-350M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1,1024,hard_rank,tail,post,323.125,235.26523357451617,410.9847664254838,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_dion_r1_16_1x,tail_350m_rank_scaling,350m,GPT2-350M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),1,1024,soft_rank,tail,post,597.3481594102404,476.89313349325977,717.8031853272212,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_dion_r1_16_2x,tail_350m_rank_scaling,350m,GPT2-350M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),2,2048,hard_rank,tail,post,465.89,315.5722648430419,616.207735156958,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_dion_r1_16_2x,tail_350m_rank_scaling,350m,GPT2-350M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),2,2048,soft_rank,tail,post,1049.9587167393186,822.5038019758422,1277.413631502795,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_dion_r1_16_3x,tail_350m_rank_scaling,350m,GPT2-350M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),3,3072,hard_rank,tail,post,569.7,412.76938829175754,726.6306117082426,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_dion_r1_16_3x,tail_350m_rank_scaling,350m,GPT2-350M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),3,3072,soft_rank,tail,post,1436.5511713118885,1121.5983344496476,1751.5040081741295,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_dion_r1_16_4x,tail_350m_rank_scaling,350m,GPT2-350M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),4,4096,hard_rank,tail,post,613.75,447.0355854937352,780.4644145062648,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
350m_dion_r1_16_4x,tail_350m_rank_scaling,350m,GPT2-350M,Dion,dion_r1_16,dion_r1_16,Dion (1/16),4,4096,soft_rank,tail,post,1654.0870430637756,1291.7122102576166,2016.4618758699346,24,6400;6800;7200;7600;8000,median_final_steps_per_layer_then_median_over_layers,rank0_local
