run_id,paper_experiment,model_scale,model_name,num_layers,base_ffn_dim,width_multiplier,ffn_hidden_dim,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,dion_rank_fraction,rank_fraction_float,line_style,num_gpus,seed,frequency_bucket_reduction,log_dir,notes
160m_dion_r1_2_3x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,3,2304,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_2/3d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_2_4x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,4,3072,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_2/4d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_2_5x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,5,3840,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_2/5d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_2_6x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,6,4608,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_2/6d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_2_7x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,7,5376,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_2/7d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_2_8x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,8,6144,Dion,dion_r1_2,dion_r1_2,Dion (1/2),1/2,0.5,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_2/8d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_4_1x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,1,768,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_4/1d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_4_2x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,2,1536,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_4/2d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_4_3x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,3,2304,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_4/3d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_4_4x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,4,3072,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_4/4d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_4_5x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,5,3840,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_4/5d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_4_6x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,6,4608,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_4/6d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_4_7x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,7,5376,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_4/7d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_4_8x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,8,6144,Dion,dion_r1_4,dion_r1_4,Dion (1/4),1/4,0.25,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_4/8d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
160m_dion_r1_8_1x,dion_rank_sweep_tail,160m,GPT2-160M,12,768,1,768,Dion,dion_r1_8,dion_r1_8,Dion (1/8),1/8,0.125,solid,4,not_recorded,rank0_local,external://submitted_logs/dion_rank_sweep/dion_r1_8/1d/eigen_metrics_logs,legacy submitted-run Dion rank-sweep logs; full raw logs are external artifacts
