paper_experiment,model_scale,model_name,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,bucket,step,trajectory_window,beta_hard,beta_soft,n_widths_hard,n_widths_soft,frequency_bucket_reduction
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,6200,3,0.06432319528540976,0.3637430893844978,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,6400,3,0.11236557836748125,0.39959108878022537,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,6600,3,0.1428951871076157,0.4002296653618873,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,6800,3,0.1265670833942142,0.389043281213841,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,7000,3,0.11917622641032934,0.39757394515556016,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,7200,3,0.10222414068251674,0.3851269002522179,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,7400,3,0.10831065779382207,0.3885327911017041,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,7600,3,0.12398397789341668,0.39826313792304274,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,7800,3,0.1629406853548243,0.4062546824774257,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,8000,3,0.18372716985239407,0.38963895902729934,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,8200,3,0.0905370863424274,0.38271691799371255,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,8400,3,0.06249906602060893,0.35436284683732466,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,8600,3,0.05393648933560737,0.35436284683732466,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,8800,3,0.039986551125590665,0.31727247505236056,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,9000,3,0.0075217836166602174,0.3195216600508848,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,9200,3,0.11557504709546544,0.34602189845352876,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,9400,3,0.11805066157735168,0.3873736597120816,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,9600,3,0.07941105686345257,0.38616969785442234,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,9800,3,0.11123446624476255,0.39712280216312396,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,10000,3,0.09505572522607662,0.4091599804964461,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,10200,3,0.11685487096243495,0.3996259883025255,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,10400,3,0.14467337114207454,0.4273959617213341,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,10600,3,0.08446919274186274,0.391260654741301,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,10800,3,0.14159652714996265,0.429871504922832,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,11000,3,0.14860712550796015,0.42354052849199664,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,11200,3,0.15616461002375348,0.4340685852138041,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,11400,3,0.16354805345506235,0.4302862513871136,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,11600,3,0.16633872860449703,0.4103923297196439,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,11800,3,0.15050759322394766,0.40443302587389574,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,12000,3,0.13726531978405643,0.414486800001007,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,1,3,0.3820091775408704,0.4612845884383941,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,200,3,0.35692006336692544,0.4338846027630507,8,8,rank0_local
matched_loss_scaling_break,160m,GPT2-160M,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,400,3,-0.7055352713964387,-0.6449157427407096,8,8,rank0_local
